num;times
1; 5.445
2; 5.118
3; 9.595
4; 17.844
5; 4.796
6; 2.888
7; 2.488
8; 6.767
9; 4.570
10; 2.639
11; 6.987
12; 0.463
13; 4.589
14; 24.129
15; 2.800
16; 4.729
17; 18.364
18; 2.573
19; 2.990
20; 4.708
21; 9.164
22; 3.167
23; 6.700
24; 2.622
25; 24.081
26; 3.090
27; 4.879
28; 2.535
29; 2.630
30; 22.010
31; 3.419
32; 2.993
33; 3.310
34; 3.004
35; 3.513
36; 6.860
37; 19.787
38; 20.713
39; 3.090
40; 2.769
41; 6.742
42; 4.553
43; 3.265
44; 5.021
45; 4.878
46; 2.888
47; 2.955
48; 5.389
49; 8.887
50; 4.722
