num;times
1; 0.016
2; 0.017
3; 0.018
4; 0.015
5; 0.015
6; 0.016
7; 0.016
8; 0.016
9; 0.018
10; 0.017
11; 0.016
12; 0.015
13; 0.017
14; 0.016
15; 0.016
16; 2.015
17; 0.015
18; 0.017
19; 0.021
20; 0.017
21; 0.016
22; 0.018
23; 0.018
24; 0.016
25; 0.019
26; 2.014
27; 0.016
28; 0.017
29; 0.017
30; 0.016
31; 0.016
32; 0.018
33; 0.016
34; 0.016
35; 2.015
36; 2.017
37; 0.017
38; 0.015
39; 0.016
40; 0.018
41; 0.016
42; 0.016
43; 0.016
44; 0.016
45; 0.017
46; 0.017
47; 0.019
48; 0.016
49; 0.017
50; 0.018
