num;times
1; 0.404
2; 0.388
3; 0.394
4; 0.379
5; 0.388
6; 0.384
7; 0.390
8; 0.392
9; 0.389
10; 0.399
11; 0.393
12; 0.391
13; 0.369
14; 0.391
15; 0.379
16; 0.379
17; 0.378
18; 0.372
19; 0.405
20; 0.391
21; 0.368
22; 0.383
23; 0.336
24; 0.376
25; 0.390
26; 0.387
27; 0.360
28; 0.374
29; 0.412
30; 0.398
31; 0.402
32; 0.382
33; 0.385
34; 0.377
35; 0.341
36; 0.401
37; 0.362
38; 0.395
39; 0.400
40; 0.398
41; 0.361
42; 0.380
43; 0.351
44; 0.392
45; 0.379
46; 0.355
47; 0.385
48; 0.389
49; 0.361
50; 0.372
