num;times
1; 2.025
2; 2.020
3; 2.017
4; 4.015
5; 2.029
6; 2.024
7; 2.025
8; 4.024
9; 4.015
10; 2.027
11; 2.016
12; 6.016
13; 6.016
14; 2.015
15; 2.027
16; 2.020
17; 4.020
18; 2.019
19; 0.022
20; 2.017
21; 2.020
22; 0.016
23; 6.018
24; 2.019
25; 4.017
26; 2.026
27; 2.016
28; 0.025
29; 2.023
30; 2.424
31; 2.429
32; 4.025
33; 2.017
34; 2.016
35; 2.015
36; 0.033
37; 0.022
38; 2.017
39; 2.026
40; 4.022
41; 4.016
42; 2.024
43; 17.188
44; 2.026
45; 2.025
46; 2.025
47; 2.017
48; 2.022
49; 4.015
50; 19.113
