num;times
1; 0.016
2; 2.018
3; 0.022
4; 0.017
5; 0.017
6; 0.018
7; 0.028
8; 0.015
9; 0.017
10; 0.019
11; 0.017
12; 0.017
13; 0.016
14; 0.018
15; 0.015
16; 0.019
17; 0.016
18; 0.018
19; 0.020
20; 0.020
21; 0.017
22; 0.019
23; 0.018
24; 0.021
25; 0.015
26; 0.016
27; 0.015
28; 0.016
29; 0.017
30; 0.018
31; 0.016
32; 0.033
33; 0.018
34; 0.017
35; 0.018
36; 0.016
37; 0.014
38; 0.016
39; 0.019
40; 0.015
41; 0.018
42; 0.016
43; 0.016
44; 0.015
45; 0.017
46; 2.016
47; 0.017
48; 0.030
49; 0.016
50; 0.016
